Mode XML Parameters
ACO
maxNumIterations	50
pheromonesEvaporationRate	0.65
alpha	0.85
beta	0.85
numberOfAnts	15
GA
geneType	Simple
maxNumIterations	35
eliteNumber	0
mutationRate	0.05
crossoverRate	0.6
EVA
acoImportance	0.25
agImportance	0.75
Maze	dimension	col	#	#ok	#no	avg ok
maze70_10_8.mz	70	10	8	100	0	0.5
maze70_10_9.mz	70	10	9	100	0	3.09
maze80_5_0.mz	80	5	0	99	1	3.9494949494949494
maze80_5_1.mz	80	5	1	100	0	4.19
maze80_5_2.mz	80	5	2	100	0	3.18
maze80_5_3.mz	80	5	3	98	2	6.918367346938775
maze80_5_4.mz	80	5	4	100	0	0.16
maze80_5_5.mz	80	5	5	92	8	8.75
maze80_5_6.mz	80	5	6	96	4	10.520833333333334
maze80_5_7.mz	80	5	7	99	1	12.474747474747474
maze80_5_8.mz	80	5	8	100	0	4.03
maze80_5_9.mz	80	5	9	99	1	6.171717171717172
maze80_10_0.mz	80	10	0	50	50	19.34
maze80_10_1.mz	80	10	1	100	0	3.54
maze80_10_2.mz	80	10	2	100	0	0.42
maze80_10_3.mz	80	10	3	100	0	1.84
maze80_10_4.mz	80	10	4	99	1	7.494949494949495
maze80_10_5.mz	80	10	5	100	0	0.81
maze80_10_6.mz	80	10	6	94	6	12.138297872340425
maze80_10_7.mz	80	10	7	100	0	0.64
maze80_10_8.mz	80	10	8	100	0	1.99
maze80_10_9.mz	80	10	9	98	2	7.642857142857143
maze80_20_0.mz	80	20	0	100	0	3.29
maze80_20_1.mz	80	20	1	77	23	16.25974025974026
maze80_20_2.mz	80	20	2	100	0	0.84
maze80_20_3.mz	80	20	3	93	7	10.849462365591398
maze80_20_4.mz	80	20	4	100	0	1.8
maze80_20_5.mz	80	20	5	100	0	5.06
maze80_20_6.mz	80	20	6	98	2	6.5
maze80_20_7.mz	80	20	7	82	18	13.670731707317072
maze80_20_8.mz	80	20	8	97	3	6.061855670103093
maze80_20_9.mz	80	20	9	51	49	22.098039215686274
maze90_5_0.mz	90	5	0	99	1	10.333333333333334
maze90_5_1.mz	90	5	1	15	85	22.6
maze90_5_2.mz	90	5	2	100	0	5.73
maze90_5_3.mz	90	5	3	94	6	10.585106382978724
maze90_5_4.mz	90	5	4	100	0	3.05
maze90_5_5.mz	90	5	5	99	1	4.94949494949495
maze90_5_6.mz	90	5	6	100	0	1.14
maze90_5_7.mz	90	5	7	98	2	7.387755102040816
maze90_5_8.mz	90	5	8	100	0	6.84
maze90_5_9.mz	90	5	9	49	51	24.163265306122447
maze90_10_0.mz	90	10	0	100	0	1.2
maze90_10_1.mz	90	10	1	100	0	0.79
maze90_10_2.mz	90	10	2	100	0	0.8
maze90_10_3.mz	90	10	3	100	0	2.3
maze90_10_4.mz	90	10	4	100	0	2.48
maze90_10_5.mz	90	10	5	82	18	11.75609756097561
maze90_10_6.mz	90	10	6	100	0	0.36
maze90_10_7.mz	90	10	7	99	1	5.02020202020202
maze90_10_8.mz	90	10	8	100	0	4.57
maze90_10_9.mz	90	10	9	94	6	9.287234042553191
maze90_15_0.mz	90	15	0	100	0	0.34
maze90_15_1.mz	90	15	1	100	0	1.05
maze90_15_2.mz	90	15	2	100	0	0.68
maze90_15_3.mz	90	15	3	96	4	7.65625
maze90_15_4.mz	90	15	4	100	0	2.04
maze90_15_5.mz	90	15	5	99	1	3.121212121212121
maze90_15_6.mz	90	15	6	25	75	21.52
maze90_15_7.mz	90	15	7	100	0	1.95
maze90_15_8.mz	90	15	8	100	0	0.52
maze90_15_9.mz	90	15	9	100	0	0.89
maze100_5_0.mz	100	5	0	85	15	14.376470588235295
maze100_5_1.mz	100	5	1	82	18	14.597560975609756
maze100_5_2.mz	100	5	2	18	82	27.72222222222222
maze100_5_3.mz	100	5	3	94	6	12.393617021276595
maze100_5_4.mz	100	5	4	100	0	5.36
maze100_5_5.mz	100	5	5	100	0	0.6
maze100_5_6.mz	100	5	6	99	1	5.515151515151516
maze100_5_7.mz	100	5	7	77	23	15.948051948051948
maze100_5_8.mz	100	5	8	100	0	7.0
maze100_5_9.mz	100	5	9	65	35	16.907692307692308
maze100_10_0.mz	100	10	0	99	1	3.888888888888889
maze100_10_1.mz	100	10	1	100	0	3.12
maze100_10_2.mz	100	10	2	90	10	15.633333333333333
maze100_10_3.mz	100	10	3	100	0	3.26
maze100_10_4.mz	100	10	4	100	0	0.21
maze100_10_5.mz	100	10	5	100	0	0.91
maze100_10_6.mz	100	10	6	100	0	1.17
maze100_10_7.mz	100	10	7	34	66	18.441176470588236
maze100_10_8.mz	100	10	8	100	0	0.94
maze100_10_9.mz	100	10	9	51	49	22.19607843137255
maze100_20_0.mz	100	20	0	100	0	0.48
maze100_20_1.mz	100	20	1	79	21	19.11392405063291
maze100_20_2.mz	100	20	2	95	5	9.326315789473684
maze100_20_3.mz	100	20	3	100	0	4.87
maze100_20_4.mz	100	20	4	95	5	10.978947368421053
maze100_20_5.mz	100	20	5	89	11	11.202247191011235
maze100_20_6.mz	100	20	6	85	15	11.823529411764707
maze100_20_7.mz	100	20	7	94	6	9.829787234042554
maze100_20_8.mz	100	20	8	100	0	0.08
maze100_20_9.mz	100	20	9	68	32	18.25
maze110_5_0.mz	110	5	0	68	32	15.691176470588236
maze110_5_1.mz	110	5	1	100	0	2.51
maze110_5_2.mz	110	5	2	66	34	20.227272727272727
maze110_5_3.mz	110	5	3	45	55	25.57777777777778
maze110_5_4.mz	110	5	4	88	12	12.295454545454545
maze110_5_5.mz	110	5	5	89	11	12.02247191011236
maze110_5_6.mz	110	5	6	100	0	3.55
maze110_5_7.mz	110	5	7	71	29	21.788732394366196
maze110_5_8.mz	110	5	8	93	7	10.505376344086022
maze110_5_9.mz	110	5	9	100	0	9.36
maze110_10_0.mz	110	10	0	100	0	0.16
maze110_10_1.mz	110	10	1	100	0	6.1
maze110_10_2.mz	110	10	2	100	0	1.24
maze110_10_3.mz	110	10	3	100	0	3.03
maze110_10_4.mz	110	10	4	8	92	22.625
maze110_10_5.mz	110	10	5	100	0	0.98
maze110_10_6.mz	110	10	6	99	1	5.161616161616162
maze110_10_7.mz	110	10	7	72	28	19.11111111111111
maze110_10_8.mz	110	10	8	99	1	4.262626262626263
maze110_10_9.mz	110	10	9	85	15	14.282352941176471
maze120_5_0.mz	120	5	0	2	98	43.0
maze120_5_1.mz	120	5	1	80	20	14.9375
maze120_5_2.mz	120	5	2	30	70	21.433333333333334
maze120_5_3.mz	120	5	3	76	24	18.18421052631579
maze120_5_4.mz	120	5	4	100	0	2.56
maze120_5_5.mz	120	5	5	81	19	17.28395061728395
maze120_5_6.mz	120	5	6	95	5	9.378947368421052
maze120_5_7.mz	120	5	7	82	18	17.23170731707317
maze120_5_8.mz	120	5	8	96	4	9.09375
maze120_5_9.mz	120	5	9	100	0	6.28
maze120_10_0.mz	120	10	0	100	0	0.81
maze120_10_1.mz	120	10	1	97	3	7.670103092783505
maze120_10_2.mz	120	10	2	100	0	2.71
maze120_10_3.mz	120	10	3	100	0	0.95
maze120_10_4.mz	120	10	4	100	0	3.53
maze120_10_5.mz	120	10	5	100	0	1.57
maze120_10_6.mz	120	10	6	100	0	4.39
maze120_10_7.mz	120	10	7	100	0	0.41
maze120_10_8.mz	120	10	8	65	35	17.815384615384616
maze120_10_9.mz	120	10	9	100	0	3.3
maze120_15_0.mz	120	15	0	100	0	1.28
maze120_15_1.mz	120	15	1	89	11	9.393258426966293
maze120_15_2.mz	120	15	2	98	2	7.520408163265306
maze120_15_3.mz	120	15	3	100	0	1.09
maze120_15_4.mz	120	15	4	100	0	0.54
maze120_15_5.mz	120	15	5	95	5	11.863157894736842
maze120_15_6.mz	120	15	6	100	0	4.78
maze120_15_7.mz	120	15	7	98	2	6.928571428571429
maze120_15_8.mz	120	15	8	88	12	12.693181818181818
maze120_15_9.mz	120	15	9	47	53	19.5531914893617
maze120_20_0.mz	120	20	0	99	1	7.141414141414141
maze120_20_1.mz	120	20	1	100	0	1.83
maze120_20_2.mz	120	20	2	100	0	1.97
maze120_20_3.mz	120	20	3	95	5	9.494736842105263
maze120_20_4.mz	120	20	4	61	39	18.40983606557377
maze120_20_5.mz	120	20	5	100	0	5.01
maze120_20_6.mz	120	20	6	60	40	16.7
maze120_20_7.mz	120	20	7	46	54	20.0
maze120_20_8.mz	120	20	8	99	1	8.333333333333334
maze120_20_9.mz	120	20	9	95	5	9.210526315789474
maze130_5_0.mz	130	5	0	87	13	11.816091954022989
maze130_5_1.mz	130	5	1	100	0	0.9
maze130_5_2.mz	130	5	2	97	3	9.618556701030927
maze130_5_3.mz	130	5	3	46	54	21.26086956521739
maze130_5_4.mz	130	5	4	97	3	8.061855670103093
maze130_5_5.mz	130	5	5	100	0	2.48
maze130_5_6.mz	130	5	6	100	0	6.78
maze130_5_7.mz	130	5	7	100	0	1.4
maze130_5_8.mz	130	5	8	41	59	21.4390243902439
maze130_5_9.mz	130	5	9	29	71	23.586206896551722
maze130_10_0.mz	130	10	0	100	0	4.79
maze130_10_1.mz	130	10	1	100	0	4.02
maze130_10_2.mz	130	10	2	100	0	5.4
maze130_10_3.mz	130	10	3	100	0	1.71
maze130_10_4.mz	130	10	4	100	0	0.91
maze130_10_5.mz	130	10	5	100	0	3.46
maze130_10_6.mz	130	10	6	96	4	9.677083333333334
maze130_10_7.mz	130	10	7	100	0	1.99
maze130_10_8.mz	130	10	8	98	2	8.989795918367347
maze130_10_9.mz	130	10	9	100	0	3.41
maze140_5_0.mz	140	5	0	59	41	18.305084745762713
maze140_5_1.mz	140	5	1	91	9	11.065934065934066
maze140_5_2.mz	140	5	2	98	2	7.316326530612245
maze140_5_3.mz	140	5	3	64	36	20.015625
maze140_5_4.mz	140	5	4	93	7	11.634408602150538
maze140_5_5.mz	140	5	5	90	10	11.322222222222223
maze140_5_6.mz	140	5	6	62	38	17.241935483870968
maze140_5_7.mz	140	5	7	43	57	18.790697674418606
maze140_5_8.mz	140	5	8	95	5	13.042105263157895
maze140_5_9.mz	140	5	9	89	11	12.438202247191011
maze140_10_0.mz	140	10	0	16	84	23.4375
maze140_10_1.mz	140	10	1	100	0	0.44
maze140_10_2.mz	140	10	2	100	0	1.19
maze140_10_3.mz	140	10	3	60	40	17.083333333333332
maze140_10_4.mz	140	10	4	37	63	19.91891891891892
maze140_10_5.mz	140	10	5	100	0	1.29
maze140_10_6.mz	140	10	6	46	54	17.52173913043478
maze140_10_7.mz	140	10	7	100	0	1.06
maze140_10_8.mz	140	10	8	100	0	3.09
maze140_10_9.mz	140	10	9	98	2	8.928571428571429
maze140_20_0.mz	140	20	0	95	5	9.526315789473685
maze140_20_1.mz	140	20	1	33	67	24.181818181818183
maze140_20_2.mz	140	20	2	81	19	16.02469135802469
maze140_20_3.mz	140	20	3	71	29	18.774647887323944
maze140_20_4.mz	140	20	4	95	5	10.978947368421053
maze140_20_5.mz	140	20	5	100	0	2.34
maze140_20_6.mz	140	20	6	83	17	16.180722891566266
maze140_20_7.mz	140	20	7	94	6	11.829787234042554
maze140_20_8.mz	140	20	8	63	37	19.41269841269841
maze140_20_9.mz	140	20	9	96	4	10.729166666666666
maze150_5_0.mz	150	5	0	61	39	20.360655737704917
maze150_5_1.mz	150	5	1	99	1	11.464646464646465
maze150_5_2.mz	150	5	2	14	86	26.714285714285715
maze150_5_3.mz	150	5	3	82	18	15.926829268292684
maze150_5_4.mz	150	5	4	5	95	21.2
maze150_5_5.mz	150	5	5	97	3	12.474226804123711
maze150_5_6.mz	150	5	6	42	58	22.547619047619047
maze150_5_7.mz	150	5	7	2	98	1.0
maze150_5_8.mz	150	5	8	87	13	14.333333333333334
maze150_5_9.mz	150	5	9	38	62	22.42105263157895
maze150_10_0.mz	150	10	0	88	12	14.090909090909092
maze150_10_1.mz	150	10	1	29	71	23.620689655172413
maze150_10_2.mz	150	10	2	59	41	20.016949152542374
maze150_10_3.mz	150	10	3	100	0	2.8
maze150_10_4.mz	150	10	4	88	12	13.045454545454545
maze150_10_5.mz	150	10	5	100	0	1.31
maze150_10_6.mz	150	10	6	98	2	6.520408163265306
maze150_10_7.mz	150	10	7	72	28	17.458333333333332
maze150_10_8.mz	150	10	8	83	17	14.831325301204819
maze150_10_9.mz	150	10	9	90	10	11.411111111111111
maze150_15_0.mz	150	15	0	35	65	20.97142857142857
maze150_15_1.mz	150	15	1	99	1	5.626262626262626
maze150_15_2.mz	150	15	2	97	3	7.257731958762887
maze150_15_3.mz	150	15	3	95	5	11.56842105263158
maze150_15_4.mz	150	15	4	100	0	7.81
maze150_15_5.mz	150	15	5	100	0	2.69
maze150_15_6.mz	150	15	6	100	0	5.18
maze150_15_7.mz	150	15	7	100	0	3.18
maze150_15_8.mz	150	15	8	48	52	19.1875
maze150_15_9.mz	150	15	9	100	0	2.12
maze160_5_0.mz	160	5	0	74	26	16.72972972972973
maze160_5_1.mz	160	5	1	80	20	15.5625
maze160_5_2.mz	160	5	2	40	60	25.475
maze160_5_3.mz	160	5	3	23	77	27.73913043478261
maze160_5_4.mz	160	5	4	53	47	21.962264150943398
maze160_5_5.mz	160	5	5	80	20	18.275
maze160_5_6.mz	160	5	6	4	96	19.25
maze160_5_7.mz	160	5	7	100	0	7.02
maze160_5_8.mz	160	5	8	32	68	23.875
maze160_5_9.mz	160	5	9	77	23	14.96103896103896
maze160_10_0.mz	160	10	0	98	2	8.39795918367347
maze160_10_1.mz	160	10	1	83	17	15.385542168674698
maze160_10_2.mz	160	10	2	100	0	1.49
maze160_10_3.mz	160	10	3	93	7	10.709677419354838
maze160_10_4.mz	160	10	4	72	28	17.055555555555557
maze160_10_5.mz	160	10	5	11	89	20.454545454545453
maze160_10_6.mz	160	10	6	96	4	10.59375
maze160_10_7.mz	160	10	7	100	0	1.91
maze160_10_8.mz	160	10	8	32	68	18.8125
maze160_10_9.mz	160	10	9	95	5	13.126315789473685
maze160_20_0.mz	160	20	0	28	72	24.214285714285715
