Mode XML Parameters
ACO
maxNumIterations	100
pheromonesEvaporationRate	0.65
alpha	0.85
beta	0.85
numberOfAnts	20
GA
geneType	Simple
maxNumIterations	50
eliteNumber	0
mutationRate	0.05
crossoverRate	0.6
EVA
acoImportance	0.5
agImportance	0.5
Maze	dimension	col	#	#ok	#no	avg ok
maze120_10_9.mz	120	10	9	100	0	5.2
maze120_15_0.mz	120	15	0	100	0	3.12
maze120_15_1.mz	120	15	1	93	7	16.946236559139784
maze120_15_2.mz	120	15	2	96	4	13.135416666666666
maze120_15_3.mz	120	15	3	100	0	1.13
maze120_15_4.mz	120	15	4	100	0	0.71
maze120_15_5.mz	120	15	5	90	10	13.866666666666667
maze120_15_6.mz	120	15	6	99	1	9.484848484848484
maze120_15_7.mz	120	15	7	96	4	11.25
maze120_15_8.mz	120	15	8	81	19	21.530864197530864
maze120_15_9.mz	120	15	9	56	44	33.0
maze120_20_0.mz	120	20	0	98	2	8.785714285714286
maze120_20_1.mz	120	20	1	100	0	1.88
maze120_20_2.mz	120	20	2	100	0	2.29
maze120_20_3.mz	120	20	3	92	8	15.532608695652174
maze120_20_4.mz	120	20	4	62	38	36.88709677419355
maze120_20_5.mz	120	20	5	99	1	5.111111111111111
maze120_20_6.mz	120	20	6	67	33	27.880597014925375
maze120_20_7.mz	120	20	7	54	46	36.22222222222222
maze120_20_8.mz	120	20	8	97	3	7.711340206185567
maze120_20_9.mz	120	20	9	96	4	14.385416666666666
maze130_5_0.mz	130	5	0	92	8	15.847826086956522
maze130_5_1.mz	130	5	1	100	0	1.91
maze130_5_2.mz	130	5	2	99	1	14.222222222222221
maze130_5_3.mz	130	5	3	63	37	30.07936507936508
maze130_5_4.mz	130	5	4	92	8	11.434782608695652
maze130_5_5.mz	130	5	5	100	0	3.1
maze130_5_6.mz	130	5	6	97	3	5.845360824742268
maze130_5_7.mz	130	5	7	100	0	1.88
maze130_5_8.mz	130	5	8	60	40	32.166666666666664
maze130_5_9.mz	130	5	9	40	60	37.35
maze130_10_0.mz	130	10	0	99	1	10.767676767676768
maze130_10_1.mz	130	10	1	99	1	6.474747474747475
maze130_10_2.mz	130	10	2	100	0	6.98
maze130_10_3.mz	130	10	3	100	0	3.11
maze130_10_4.mz	130	10	4	100	0	0.97
maze130_10_5.mz	130	10	5	100	0	4.08
maze130_10_6.mz	130	10	6	96	4	17.375
maze130_10_7.mz	130	10	7	100	0	2.94
maze130_10_8.mz	130	10	8	96	4	18.052083333333332
maze130_10_9.mz	130	10	9	100	0	5.97
maze140_5_0.mz	140	5	0	67	33	26.850746268656717
maze140_5_1.mz	140	5	1	95	5	18.05263157894737
maze140_5_2.mz	140	5	2	98	2	13.673469387755102
maze140_5_3.mz	140	5	3	62	38	30.483870967741936
maze140_5_4.mz	140	5	4	92	8	17.02173913043478
