Mode XML Parameters
ACO
maxNumIterations	100
pheromonesEvaporationRate	0.65
alpha	0.85
beta	0.85
numberOfAnts	20
GA
geneType	LSystem
maxNumIterations	50
eliteNumber	0
mutationRate	0.05
crossoverRate	0.6
EVA
acoImportance	0.5
agImportance	0.5
Maze	dimension	col	#	#ok	#no	avg ok
maze90_15_8.mz	90	15	8	100	0	0.56
maze90_15_9.mz	90	15	9	100	0	1.77
maze100_5_0.mz	100	5	0	84	16	19.523809523809526
maze100_5_1.mz	100	5	1	77	23	19.857142857142858
maze100_5_2.mz	100	5	2	79	21	27.151898734177216
maze100_5_3.mz	100	5	3	82	18	20.890243902439025
maze100_5_4.mz	100	5	4	100	0	3.41
maze100_5_5.mz	100	5	5	100	0	1.93
maze100_5_6.mz	100	5	6	96	4	13.71875
maze100_5_7.mz	100	5	7	87	13	14.885057471264368
maze100_5_8.mz	100	5	8	97	3	11.29896907216495
maze100_5_9.mz	100	5	9	81	19	28.703703703703702
maze100_10_0.mz	100	10	0	99	1	7.353535353535354
maze100_10_1.mz	100	10	1	99	1	3.585858585858586
maze100_10_2.mz	100	10	2	86	14	16.96511627906977
maze100_10_3.mz	100	10	3	100	0	5.58
maze100_10_4.mz	100	10	4	100	0	0.39
maze100_10_5.mz	100	10	5	100	0	2.04
maze100_10_6.mz	100	10	6	99	1	1.8484848484848484
maze100_10_7.mz	100	10	7	52	48	35.05769230769231
maze100_10_8.mz	100	10	8	100	0	2.78
maze100_10_9.mz	100	10	9	42	58	35.0
maze100_20_0.mz	100	20	0	100	0	0.29
maze100_20_1.mz	100	20	1	72	28	26.375
maze100_20_2.mz	100	20	2	99	1	15.151515151515152
maze100_20_3.mz	100	20	3	99	1	11.06060606060606
maze100_20_4.mz	100	20	4	95	5	11.715789473684211
maze100_20_5.mz	100	20	5	82	18	21.426829268292682
maze100_20_6.mz	100	20	6	99	1	11.030303030303031
maze100_20_7.mz	100	20	7	91	9	18.78021978021978
maze100_20_8.mz	100	20	8	100	0	0.25
maze100_20_9.mz	100	20	9	66	34	30.87878787878788
maze110_5_0.mz	110	5	0	90	10	15.877777777777778
maze110_5_1.mz	110	5	1	100	0	4.14
maze110_5_2.mz	110	5	2	73	27	23.575342465753426
maze110_5_3.mz	110	5	3	51	49	35.588235294117645
maze110_5_4.mz	110	5	4	93	7	18.849462365591396
maze110_5_5.mz	110	5	5	93	7	17.64516129032258
maze110_5_6.mz	110	5	6	99	1	5.484848484848484
maze110_5_7.mz	110	5	7	86	14	19.88372093023256
maze110_5_8.mz	110	5	8	99	1	7.555555555555555
maze110_5_9.mz	110	5	9	98	2	9.540816326530612
maze110_10_0.mz	110	10	0	100	0	0.14
maze110_10_1.mz	110	10	1	97	3	11.556701030927835
maze110_10_2.mz	110	10	2	100	0	2.0
maze110_10_3.mz	110	10	3	99	1	5.545454545454546
maze110_10_4.mz	110	10	4	14	86	40.57142857142857
maze110_10_5.mz	110	10	5	100	0	1.96
maze110_10_6.mz	110	10	6	100	0	9.92
maze110_10_7.mz	110	10	7	71	29	24.985915492957748
maze110_10_8.mz	110	10	8	97	3	8.072164948453608
maze110_10_9.mz	110	10	9	93	7	18.548387096774192
maze120_5_0.mz	120	5	0	23	77	35.65217391304348
maze120_5_1.mz	120	5	1	97	3	14.597938144329897
maze120_5_2.mz	120	5	2	32	68	41.375
maze120_5_3.mz	120	5	3	80	20	23.375
maze120_5_4.mz	120	5	4	100	0	1.93
maze120_5_5.mz	120	5	5	68	32	33.14705882352941
maze120_5_6.mz	120	5	6	98	2	8.071428571428571
maze120_5_7.mz	120	5	7	82	18	23.609756097560975
maze120_5_8.mz	120	5	8	98	2	8.173469387755102
maze120_5_9.mz	120	5	9	97	3	13.164948453608247
maze120_10_0.mz	120	10	0	100	0	1.37
maze120_10_1.mz	120	10	1	98	2	6.173469387755102
maze120_10_2.mz	120	10	2	100	0	5.69
maze120_10_3.mz	120	10	3	100	0	2.47
maze120_10_4.mz	120	10	4	100	0	6.08
maze120_10_5.mz	120	10	5	100	0	1.85
maze120_10_6.mz	120	10	6	98	2	4.122448979591836
maze120_10_7.mz	120	10	7	100	0	0.84
maze120_10_8.mz	120	10	8	91	9	24.956043956043956
maze120_10_9.mz	120	10	9	100	0	1.94
maze120_15_0.mz	120	15	0	100	0	1.67
maze120_15_1.mz	120	15	1	91	9	16.813186813186814
maze120_15_2.mz	120	15	2	98	2	10.418367346938776
maze120_15_3.mz	120	15	3	100	0	1.11
maze120_15_4.mz	120	15	4	100	0	1.15
maze120_15_5.mz	120	15	5	90	10	8.866666666666667
maze120_15_6.mz	120	15	6	100	0	5.67
maze120_15_7.mz	120	15	7	98	2	9.0
maze120_15_8.mz	120	15	8	87	13	15.367816091954023
maze120_15_9.mz	120	15	9	77	23	24.766233766233768
maze120_20_0.mz	120	20	0	97	3	11.02061855670103
maze120_20_1.mz	120	20	1	100	0	3.2
maze120_20_2.mz	120	20	2	100	0	2.01
maze120_20_3.mz	120	20	3	98	2	8.091836734693878
maze120_20_4.mz	120	20	4	74	26	21.93243243243243
maze120_20_5.mz	120	20	5	99	1	8.131313131313131
maze120_20_6.mz	120	20	6	85	15	23.352941176470587
maze120_20_7.mz	120	20	7	42	58	35.023809523809526
maze120_20_8.mz	120	20	8	99	1	3.3333333333333335
maze120_20_9.mz	120	20	9	95	5	14.968421052631578
maze130_5_0.mz	130	5	0	99	1	5.505050505050505
maze130_5_1.mz	130	5	1	100	0	0.23
maze130_5_2.mz	130	5	2	91	9	14.208791208791208
maze130_5_3.mz	130	5	3	95	5	18.05263157894737
maze130_5_4.mz	130	5	4	93	7	15.473118279569892
maze130_5_5.mz	130	5	5	100	0	1.7
maze130_5_6.mz	130	5	6	97	3	10.051546391752577
maze130_5_7.mz	130	5	7	99	1	1.7272727272727273
maze130_5_8.mz	130	5	8	43	57	33.83720930232558
maze130_5_9.mz	130	5	9	41	59	36.75609756097561
maze130_10_0.mz	130	10	0	98	2	7.326530612244898
maze130_10_1.mz	130	10	1	98	2	7.142857142857143
maze130_10_2.mz	130	10	2	99	1	5.212121212121212
maze130_10_3.mz	130	10	3	100	0	4.29
maze130_10_4.mz	130	10	4	100	0	1.35
maze130_10_5.mz	130	10	5	99	1	4.353535353535354
maze130_10_6.mz	130	10	6	97	3	7.989690721649485
maze130_10_7.mz	130	10	7	100	0	4.03
maze130_10_8.mz	130	10	8	95	5	10.705263157894738
maze130_10_9.mz	130	10	9	96	4	4.708333333333333
maze140_5_0.mz	140	5	0	78	22	23.41025641025641
maze140_5_1.mz	140	5	1	90	10	19.4
maze140_5_2.mz	140	5	2	94	6	17.319148936170212
maze140_5_3.mz	140	5	3	54	46	34.925925925925924
maze140_5_4.mz	140	5	4	86	14	17.127906976744185
maze140_5_5.mz	140	5	5	89	11	18.674157303370787
maze140_5_6.mz	140	5	6	63	37	33.317460317460316
maze140_5_7.mz	140	5	7	89	11	18.584269662921347
maze140_5_8.mz	140	5	8	93	7	17.774193548387096
maze140_5_9.mz	140	5	9	89	11	12.539325842696629
maze140_10_0.mz	140	10	0	34	66	35.88235294117647
maze140_10_1.mz	140	10	1	100	0	0.3
maze140_10_2.mz	140	10	2	100	0	1.45
maze140_10_3.mz	140	10	3	53	47	28.49056603773585
maze140_10_4.mz	140	10	4	71	29	25.028169014084508
maze140_10_5.mz	140	10	5	100	0	1.46
maze140_10_6.mz	140	10	6	60	40	32.06666666666667
maze140_10_7.mz	140	10	7	100	0	3.39
maze140_10_8.mz	140	10	8	100	0	3.21
maze140_10_9.mz	140	10	9	98	2	8.724489795918368
maze140_20_0.mz	140	20	0	94	6	15.574468085106384
maze140_20_1.mz	140	20	1	36	64	32.083333333333336
maze140_20_2.mz	140	20	2	88	12	15.784090909090908
maze140_20_3.mz	140	20	3	73	27	24.027397260273972
maze140_20_4.mz	140	20	4	98	2	12.938775510204081
maze140_20_5.mz	140	20	5	98	2	4.938775510204081
maze140_20_6.mz	140	20	6	99	1	10.424242424242424
maze140_20_7.mz	140	20	7	87	13	16.195402298850574
maze140_20_8.mz	140	20	8	77	23	26.753246753246753
maze140_20_9.mz	140	20	9	95	5	10.557894736842105
maze150_5_0.mz	150	5	0	85	15	22.058823529411764
maze150_5_1.mz	150	5	1	93	7	11.96774193548387
maze150_5_2.mz	150	5	2	49	51	34.87755102040816
maze150_5_3.mz	150	5	3	85	15	24.95294117647059
maze150_5_4.mz	150	5	4	15	85	46.2
maze150_5_5.mz	150	5	5	92	8	9.641304347826088
maze150_5_6.mz	150	5	6	52	48	30.346153846153847
maze150_5_7.mz	150	5	7	15	85	43.13333333333333
maze150_5_8.mz	150	5	8	85	15	20.68235294117647
maze150_5_9.mz	150	5	9	70	30	29.714285714285715
maze150_10_0.mz	150	10	0	79	21	26.924050632911392
maze150_10_1.mz	150	10	1	44	56	33.0
maze150_10_2.mz	150	10	2	80	20	29.5125
maze150_10_3.mz	150	10	3	100	0	4.33
maze150_10_4.mz	150	10	4	93	7	11.505376344086022
maze150_10_5.mz	150	10	5	100	0	2.3
maze150_10_6.mz	150	10	6	99	1	8.363636363636363
maze150_10_7.mz	150	10	7	77	23	23.181818181818183
maze150_10_8.mz	150	10	8	90	10	15.666666666666666
maze150_10_9.mz	150	10	9	87	13	18.586206896551722
maze150_15_0.mz	150	15	0	66	34	28.727272727272727
maze150_15_1.mz	150	15	1	99	1	7.888888888888889
maze150_15_2.mz	150	15	2	94	6	14.361702127659575
maze150_15_3.mz	150	15	3	92	8	19.92391304347826
maze150_15_4.mz	150	15	4	97	3	10.082474226804123
maze150_15_5.mz	150	15	5	99	1	5.202020202020202
maze150_15_6.mz	150	15	6	99	1	5.040404040404041
maze150_15_7.mz	150	15	7	100	0	2.38
maze150_15_8.mz	150	15	8	59	41	40.66101694915254
maze150_15_9.mz	150	15	9	100	0	5.49
maze160_5_0.mz	160	5	0	71	29	29.830985915492956
maze160_5_1.mz	160	5	1	89	11	14.674157303370787
maze160_5_2.mz	160	5	2	47	53	38.93617021276596
maze160_5_3.mz	160	5	3	44	56	41.47727272727273
maze160_5_4.mz	160	5	4	51	49	33.01960784313726
maze160_5_5.mz	160	5	5	78	22	20.153846153846153
maze160_5_6.mz	160	5	6	27	73	42.851851851851855
maze160_5_7.mz	160	5	7	94	6	13.904255319148936
maze160_5_8.mz	160	5	8	58	42	25.379310344827587
maze160_5_9.mz	160	5	9	91	9	16.857142857142858
maze160_10_0.mz	160	10	0	95	5	14.273684210526316
