Mode XML Parameters
ACO
maxNumIterations	50
pheromonesEvaporationRate	0.65
alpha	0.85
beta	0.85
numberOfAnts	15
GA
geneType	LSystem
maxNumIterations	35
eliteNumber	0
mutationRate	0.05
crossoverRate	0.6
EVA
acoImportance	0.75
agImportance	0.25
Maze	dimension	col	#	#ok	#no	avg ok
maze120_20_4.mz	120	20	4	37	63	15.783783783783784
maze120_20_5.mz	120	20	5	90	10	10.6
maze120_20_6.mz	120	20	6	36	64	15.36111111111111
maze120_20_7.mz	120	20	7	25	75	14.96
maze120_20_8.mz	120	20	8	82	18	10.634146341463415
maze120_20_9.mz	120	20	9	76	24	11.697368421052632
maze130_5_0.mz	130	5	0	73	27	14.287671232876713
maze130_5_1.mz	130	5	1	99	1	2.3636363636363638
maze130_5_2.mz	130	5	2	71	29	10.0
maze130_5_3.mz	130	5	3	34	66	15.5
maze130_5_4.mz	130	5	4	76	24	14.828947368421053
maze130_5_5.mz	130	5	5	94	6	5.946808510638298
maze130_5_6.mz	130	5	6	82	18	8.426829268292684
maze130_5_7.mz	130	5	7	94	6	3.8191489361702127
maze130_5_8.mz	130	5	8	20	80	20.2
maze130_5_9.mz	130	5	9	17	83	21.41176470588235
maze130_10_0.mz	130	10	0	85	15	8.552941176470588
maze130_10_1.mz	130	10	1	84	16	6.928571428571429
maze130_10_2.mz	130	10	2	89	11	7.157303370786517
maze130_10_3.mz	130	10	3	95	5	6.5473684210526315
maze130_10_4.mz	130	10	4	96	4	3.7708333333333335
maze130_10_5.mz	130	10	5	91	9	9.032967032967033
maze130_10_6.mz	130	10	6	73	27	10.931506849315069
maze130_10_7.mz	130	10	7	96	4	4.010416666666667
maze130_10_8.mz	130	10	8	62	38	16.93548387096774
maze130_10_9.mz	130	10	9	88	12	7.170454545454546
maze140_5_0.mz	140	5	0	32	68	18.34375
maze140_5_1.mz	140	5	1	70	30	15.7
maze140_5_2.mz	140	5	2	72	28	13.51388888888889
maze140_5_3.mz	140	5	3	37	63	18.243243243243242
maze140_5_4.mz	140	5	4	68	32	14.661764705882353
maze140_5_5.mz	140	5	5	51	49	14.254901960784315
maze140_5_6.mz	140	5	6	41	59	20.414634146341463
maze140_5_7.mz	140	5	7	32	68	13.75
maze140_5_8.mz	140	5	8	75	25	12.666666666666666
maze140_5_9.mz	140	5	9	68	32	11.897058823529411
maze140_10_0.mz	140	10	0	12	88	25.5
maze140_10_1.mz	140	10	1	100	0	1.46
maze140_10_2.mz	140	10	2	93	7	3.3333333333333335
maze140_10_3.mz	140	10	3	43	57	12.279069767441861
maze140_10_4.mz	140	10	4	25	75	20.88
maze140_10_5.mz	140	10	5	94	6	5.946808510638298
maze140_10_6.mz	140	10	6	20	80	19.6
maze140_10_7.mz	140	10	7	96	4	3.4479166666666665
maze140_10_8.mz	140	10	8	91	9	5.56043956043956
maze140_10_9.mz	140	10	9	82	18	7.2682926829268295
maze140_20_0.mz	140	20	0	69	31	14.608695652173912
maze140_20_1.mz	140	20	1	24	76	16.125
maze140_20_2.mz	140	20	2	52	48	18.01923076923077
maze140_20_3.mz	140	20	3	36	64	19.833333333333332
maze140_20_4.mz	140	20	4	67	33	14.08955223880597
maze140_20_5.mz	140	20	5	93	7	5.172043010752688
maze140_20_6.mz	140	20	6	50	50	17.22
maze140_20_7.mz	140	20	7	63	37	13.222222222222221
maze140_20_8.mz	140	20	8	39	61	18.384615384615383
maze140_20_9.mz	140	20	9	67	33	10.701492537313433
